Hogar propio,calle,Zona,tipovivienda,tiene discacidad,tiene celular,recibe el BDH,tiene negocio,AREA,AREA
0,Sin asfalto,rural,departamento,No,No,No,No,pobre,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,Si,No,pobre,pobre
0,Sin asfalto,rural,casa,No,Si,No,Si,pobre,pobre
0,Sin asfalto,urbano,casa,Si,No,No,No,pobre,no pobre
0,Sin asfalto,urbano,casa,No,No,Si,No,pobre,no pobre
0,Sin asfalto,rural,departamento,No,No,No,Si,pobre,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,Si,No,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,No,Si,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,Si,No,pobre,pobre
0,Sin asfalto,urbano,departamento,No,Si,No,Si,pobre,pobre
0,Sin asfalto,urbano,casa,No,Si,No,Si,pobre,pobre
0,Sin asfalto,rural,departamento,Si,Si,Si,No,pobre,pobre
0,Sin asfalto,urbano,casa,No,Si,Si,Si,pobre,pobre
0,Sin asfalto,rural,casa,No,Si,No,No,pobre,pobre
0,Sin asfalto,rural,casa,No,No,No,No,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,No,No,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,Si,No,pobre,pobre
0,Sin asfalto,rural,departamento,Si,Si,No,No,pobre,pobre
0,Sin asfalto,urbano,departamento,No,No,No,No,pobre,no pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre,pobre
0,Sin asfalto,urbano,departamento,No,No,No,Si,pobre,pobre
0,Sin asfalto,rural,departamento,No,Si,No,No,pobre,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre,pobre
0,Sin asfalto,rural,casa,No,Si,Si,Si,pobre,pobre
0,Sin asfalto,rural,departamento,No,No,No,No,pobre,pobre
0,Sin asfalto,urbano,casa,Si,No,No,No,pobre,no pobre
0,Sin asfalto,urbano,departamento,Si,No,No,Si,pobre,pobre
0,Sin asfalto,urbano,casa,No,No,No,Si,pobre,pobre
0,Sin asfalto,urbano,casa,No,Si,No,No,pobre,no pobre
